Barcode	Reads	Reads with unique alignment	Reads with unique alignment within shorter distance of 3'-end	Reads with less than `m` multiple alignments	Reads with more than than `m` multiple alignments	Reads with no alignments	UMIFM	Ambig UMIFM (between 2 genes)	Ambig UMIFM (between 3 genes)	Ambig UMIFM (between more than 3 genes)
bcATOS	2330	438	2	23	1	1866	117	0	0	0
bcAVET	2329	355	21	22	1	1930	132	0	0	0
bcAUSW	2327	230	10	23	0	2064	77	0	0	0
bcAABP	2325	319	14	10	0	1982	103	0	0	0
bcBZNY	2319	392	15	13	0	1899	126	0	0	0
bcBYYL	2317	442	18	14	0	1843	130	0	0	0
bcCAEP	2316	420	11	19	0	1866	131	0	0	0
bcAJZJ	2314	247	26	15	0	2026	100	0	0	0
bcAPOJ	2313	468	8	15	0	1822	147	0	0	0
bcBJBC	2313	370	12	16	1	1914	114	0	0	0
bcAAHD	2306	351	4	8	0	1943	112	0	0	0
bcBJLA	2304	432	3	23	0	1846	138	0	0	0
bcBPNX	2300	487	2	19	0	1792	130	0	0	0
bcARQI	2297	352	10	9	0	1926	118	0	0	0
bcAFOU	2291	430	1	28	0	1832	121	0	0	0
bcASTE	2287	454	28	24	0	1781	129	0	0	0
bcBQUB	2286	354	4	18	0	1910	110	0	0	0
bcASNQ	2270	378	6	14	0	1872	113	0	0	0
bcBNDQ	2267	386	12	12	0	1857	114	0	0	0
bcBYEZ	2265	414	5	18	0	1828	125	0	0	0
bcBSFU	2262	592	16	14	0	1640	179	0	0	0
bcAHLP	2258	456	12	10	0	1780	156	0	0	0
bcACJP	2255	405	2	11	0	1837	113	0	0	0
bcBAAJ	2254	390	6	18	2	1838	121	0	0	0
bcBYBM	2254	387	11	12	0	1844	132	0	0	0
bcAPOK	2253	407	3	25	0	1818	132	0	0	0
bcABKT	2250	362	2	16	0	1870	123	0	0	0
bcBJUS	2250	487	1	11	0	1751	124	0	0	0
bcAAYP	2248	424	2	26	0	1796	145	0	0	0
bcBFIK	2247	443	2	21	0	1781	149	0	0	0
bcAJHE	2245	462	15	14	0	1754	157	0	0	0
bcAJKR	2240	291	7	26	1	1915	118	0	0	0
bcBNCM	2240	492	11	11	0	1726	125	0	0	0
bcADGA	2238	426	4	12	1	1795	151	0	0	0
bcBHJA	2231	389	4	33	1	1804	132	0	0	0
bcCBPN	2230	463	22	20	0	1725	128	0	0	0
bcBAJS	2229	545	25	20	0	1639	149	0	0	0
bcADMJ	2227	433	1	14	0	1779	141	0	0	0
bcBDYI	2226	316	3	21	0	1886	105	0	0	0
bcBBYD	2217	358	4	31	0	1824	119	0	0	0
bcAMSD	2216	318	1	17	0	1880	104	0	0	0
bcBUIK	2215	397	1	10	0	1807	102	0	0	0
bcAADF	2212	329	14	23	0	1846	106	0	0	0
bcBAEC	2210	502	6	27	0	1675	124	0	0	0
bcARXS	2208	547	10	18	0	1633	182	0	0	0
bcBUMO	2204	407	3	13	0	1781	115	0	0	0
bcAVRZ	2200	351	3	7	0	1839	151	0	0	0
bcAQRJ	2198	433	12	42	0	1711	135	0	0	0
bcAAFL	2197	515	1	15	0	1666	115	0	0	0
bcARPZ	2195	400	15	10	0	1770	131	0	0	0
bcBGEM	2193	380	4	11	1	1797	114	0	0	0
