Barcode	Reads	Reads with unique alignment	Reads with unique alignment within shorter distance of 3'-end	Reads with less than `m` multiple alignments	Reads with more than than `m` multiple alignments	Reads with no alignments	UMIFM	Ambig UMIFM (between 2 genes)	Ambig UMIFM (between 3 genes)	Ambig UMIFM (between more than 3 genes)
bcALHX	2589	1119	5	96	3	1366	416	0	0	0
bcAVRK	2589	1206	8	73	1	1301	339	0	0	0
bcBACW	2584	902	5	109	0	1568	257	0	0	0
bcBJEQ	2577	852	8	149	4	1564	298	0	0	0
bcABJY	2565	1010	4	89	3	1459	312	0	0	0
bcAULZ	2563	1026	4	133	1	1399	293	0	0	0
bcBNPW	2545	987	11	73	4	1470	299	0	0	0
bcAPNK	2544	973	13	118	3	1437	302	0	0	0
bcBKZF	2535	1017	9	159	1	1349	276	0	0	0
bcATIP	2523	1000	7	84	3	1429	275	0	0	0
bcABXL	2517	1023	11	119	6	1358	280	0	0	0
bcCBXU	2515	1174	11	127	2	1201	392	0	0	0
bcBCEB	2503	1180	10	152	4	1157	311	0	0	0
bcBJZM	2502	1174	16	71	3	1238	297	0	0	0
bcBWOK	2502	872	6	84	11	1529	302	0	0	0
bcBUPE	2501	1066	1	90	6	1338	317	0	0	0
bcAKMZ	2485	1197	13	106	3	1166	362	0	0	0
bcBULZ	2484	995	13	92	3	1381	324	0	0	0
bcACEX	2484	1071	13	100	0	1300	294	0	0	0
bcBRBO	2483	579	4	59	5	1836	193	0	0	0
bcBKCX	2480	977	6	137	3	1357	308	0	0	0
bcBJSM	2479	967	22	84	4	1402	347	0	0	0
bcAAAH	2479	1050	13	117	2	1297	278	0	0	0
bcAPOF	2477	1029	23	93	5	1327	285	0	0	0
bcBXEL	2475	1058	11	113	0	1293	359	0	0	0
bcAAOT	2472	1079	4	109	3	1277	309	0	0	0
bcBUFX	2472	1063	7	137	3	1262	336	0	0	0
bcAKYD	2470	1198	6	42	1	1223	280	0	0	0
bcAGHE	2464	700	7	83	0	1674	217	0	0	0
bcASOK	2458	430	2	49	2	1975	123	0	0	0
bcAVHQ	2445	923	8	129	6	1379	343	0	0	0
bcBPRI	2442	1006	8	74	3	1351	288	0	0	0
bcBTUJ	2442	962	19	122	2	1337	280	0	0	0
bcAECC	2441	866	12	120	7	1436	276	0	0	0
bcBHPX	2428	1037	9	101	2	1279	316	0	0	0
bcAFLR	2425	928	10	136	0	1351	283	0	0	0
bcBNCU	2415	941	9	94	3	1368	266	0	0	0
bcBXIT	2414	989	11	93	1	1320	315	0	0	0
bcAAGM	2410	971	17	126	1	1295	305	0	0	0
bcAGAR	2408	984	13	71	0	1340	343	0	0	0
bcBHJR	2407	1041	7	124	5	1230	312	0	0	0
bcAEFJ	2404	794	7	144	9	1450	237	0	0	0
bcAHUY	2401	1063	1	97	3	1237	340	0	0	0
bcBYGH	2394	796	27	106	1	1464	272	0	0	0
bcBQMO	2393	970	11	125	1	1286	300	0	0	0
bcBIDF	2394	979	14	115	2	1284	305	0	0	0
bcAYPR	2390	859	14	117	5	1395	239	0	0	0
bcAZRW	2387	890	10	141	6	1340	281	0	0	0
bcBPNJ	2386	873	6	88	3	1416	229	0	0	0
bcAPMR	2369	929	17	99	9	1315	288	0	0	0
bcAPKN	2368	868	14	111	3	1372	250	0	0	0
bcATIL	2342	848	6	104	5	1379	261	0	0	0
bcBICQ	2339	922	5	88	2	1322	276	0	0	0
bcATOS	2330	973	9	69	2	1277	263	0	0	0
bcAVET	2329	1125	3	83	3	1115	311	0	0	0
bcAUSW	2328	1044	8	79	1	1196	272	0	0	0
bcAABP	2325	945	1	82	26	1271	236	0	0	0
bcBZNY	2319	980	7	71	2	1259	298	0	0	0
bcBYYL	2317	859	18	136	0	1304	279	0	0	0
bcCAEP	2316	958	7	130	1	1220	304	0	0	0
bcAJZJ	2314	1226	6	143	0	939	349	0	0	0
bcAPOJ	2313	821	26	134	3	1329	256	0	0	0
bcBJBC	2313	912	5	99	0	1297	284	0	0	0
bcAAHD	2306	963	12	125	0	1206	252	0	0	0
bcBJLA	2304	840	3	79	7	1375	261	0	0	0
bcBPNX	2300	859	4	85	7	1345	248	0	0	0
